b,C_main,C_treat_HT,C_treat_HTCT,C_cont_recept,C_mki67,C_imm_sig,C_imm_cyt,C_imm_pdl1,C_mki67_imm,C_cox6
20,0.6724237514967951,0.6674473480312743,0.6651722194829893,0.6718250334577728,0.6932732267380433,0.6766781714446715,0.6803056983869832,0.6718954708741284,0.696407691765866,0.6629569627386067
21,0.6897259575336178,0.6872821855396699,0.6825391428522857,0.6848511636604729,0.7144314298828689,0.6859646736820632,0.6839926559339035,0.6863641772775955,0.7097988881899937,0.6857394216547948
22,0.666470341866918,0.66633073312043,0.6558557143605047,0.6704448283684973,0.6791267472907178,0.6707065947681622,0.6704797305551192,0.6665270579201787,0.6830532432856918,0.6661562221873201
23,0.631857975404996,0.6275020752569468,0.6245710422496641,0.6285589586916895,0.6462221765808324,0.6335224598427084,0.635097087794066,0.6311605179156718,0.6479850752655045,0.6384645665922142
24,0.6715778576044135,0.6632400658685547,0.6613814331274362,0.6728042078055627,0.6858181110732823,0.6666828790394864,0.6675791916510913,0.6678432217227267,0.6830110545222098,0.6696879581442855
25,0.6746484804529397,0.6683589515632189,0.6718527010270687,0.6758299604613621,0.6780213524241786,0.6758221619134517,0.679737032964462,0.6751514867931591,0.6797916227998346,0.6642608146363147
26,0.6465815941866248,0.6402853751263254,0.6429362036606298,0.6515904971205826,0.6547746996262371,0.6521599640674377,0.652320377291904,0.6460081169091579,0.6587930508991161,0.6402452718202088
27,0.6560763094226116,0.6288293663767737,0.6333085398548356,0.6623700385797424,0.6844471326750801,0.661667102595959,0.6642663310011117,0.6551445105603871,0.6879863336166874,0.655945530634931
28,0.6476652389350802,0.6473083060384648,0.6497144536827076,0.6475854539346603,0.6505668934240363,0.6546989166036785,0.6566221550348534,0.648257327622407,0.6553539934492315,0.6401738473167045
29,0.6507988198182646,0.6503476200191466,0.6565074781462358,0.6569782953279242,0.6656727192831023,0.6547733015270171,0.6549773223057487,0.6517757654702679,0.6697845226698473,0.6453373405106797
30,0.6545287435910118,0.650963615081524,0.6501475509833985,0.6477570601909095,0.6672931401157327,0.660748141187332,0.6619846019420677,0.6549615048551692,0.6696094432629375,0.6496653312890516
31,0.6411548574125261,0.6263778399514596,0.6301532056900155,0.6475342142520056,0.6638576147778602,0.6466914986853637,0.6501803411312613,0.6419722915121688,0.6670599339310995,0.6463796939257062
32,0.6466952165481578,0.6365032026796733,0.6396948639595699,0.6472791913968384,0.6615884115884116,0.6477052359405301,0.6486013986013986,0.6454721748839396,0.663755362284774,0.6425376094493741
33,0.6639740952024689,0.6647495246111164,0.6670680195766701,0.6671420555503601,0.6809672994794103,0.6653963652233549,0.6666432868855015,0.663806540104118,0.6825960909005891,0.6608879640886561
34,0.6641171291671605,0.6639520511995666,0.6636980850955759,0.6642314139139562,0.6764556490527064,0.6679139224218208,0.6683033371146064,0.6618525980732438,0.6792746728070027,0.6657679088430998
35,0.6611557648493678,0.6539057669667737,0.6538295403535221,0.6563111400960455,0.6734790673250387,0.6636034860971127,0.6662714175609178,0.6611811737204516,0.6752576883009088,0.6615453675393203
36,0.6446072082159958,0.6414192480926556,0.6425849635243881,0.6486224502586301,0.6507867534616316,0.6474943385505018,0.6482380566395641,0.6435501257635645,0.6525750194285905,0.646311910352723
37,0.6628011081455455,0.656576235683638,0.6501064225142741,0.667911078076962,0.6853947768505693,0.6667370519274299,0.6684516368796243,0.6627757694516707,0.6903864995439035,0.6590340889894929
38,0.6332736748322597,0.6342316274155779,0.6367979942128625,0.6324063926580622,0.6489005227346195,0.634385372891913,0.6355207241017716,0.6331238715476256,0.6510766125535152,0.6276284563165737
39,0.6562193964131662,0.6556848849118243,0.6563315316931679,0.660431945098567,0.6726845933600963,0.6585929265065374,0.661687860234587,0.6563651722771685,0.6744937092107919,0.6574005546958518
40,0.6494843257886063,0.6490722759836159,0.6475750257021166,0.6520422983403776,0.653298846260546,0.6524910654547235,0.6531274988168867,0.6468529186181237,0.6554529284094062,0.6543962858401736
41,0.6733311084032505,0.6731681193390405,0.6779879388092485,0.676738355983639,0.6865953136763348,0.67430904278851,0.6778637566650885,0.6732767787151805,0.6887995467351739,0.669652212382512
42,0.6366828377204803,0.6329956877189831,0.6339240259934716,0.6455619441200251,0.653602551432935,0.6424325457431198,0.6443041954900728,0.6342571796484293,0.6574581499116582,0.6357844458419429
43,0.6376257011569577,0.6367987455239076,0.6248468961858622,0.6341423455894399,0.6603864847364274,0.6438317691389519,0.6462736286969207,0.6355934186813958,0.6639751601251356,0.6393966344466029
44,0.6560298640738168,0.6531277904554024,0.6535411912557463,0.663574428680094,0.6719995369911036,0.6613255283262228,0.6618877534146906,0.6544713430565201,0.6766792340509972,0.6428919866388861
45,0.6363817143031962,0.6303050930422878,0.6341598660007496,0.6604128584212258,0.6439535897573175,0.6447796125341309,0.6458962729546376,0.635502153013071,0.6483055060536762,0.6319992045706594
46,0.6524233103333611,0.6522237925014548,0.6517748773796658,0.6676282317732147,0.6565134258874387,0.6569457145232355,0.656006318064677,0.6509684928090448,0.6618588411339263,0.6535123451658492
47,0.6746018540527692,0.6608985024958403,0.6586839394659694,0.6755249187861501,0.6843435543934712,0.6793360272561604,0.6784961571983202,0.6743205768164171,0.6897314000475399,0.6669717138103162
48,0.6439554249699332,0.6326936836817026,0.6393540578805548,0.641869776363664,0.659285703411634,0.637470123464308,0.6395177127894408,0.6436890100019791,0.6531048761550992,0.64524182867234
49,0.6381131238082715,0.6385857058320731,0.6354584456571767,0.6424321125649287,0.6632175027943981,0.6437224669603524,0.6451771977118811,0.6385446117430469,0.6684282332829246,0.6342009665329739
50,0.6550600206693696,0.6504650608156451,0.6413228396533905,0.6586453613164799,0.6774783369107242,0.659694729310756,0.661443675967883,0.6554734080610541,0.68121472295095,0.6615549725733365
51,0.6703551525093714,0.6520647599481798,0.6554875010540356,0.6728043479927329,0.6757939762822822,0.6709799081647515,0.6692321254723996,0.6692934511809032,0.6776030846831377,0.6767943519022468
52,0.6252748699207136,0.6197039147670962,0.6260568942021804,0.6370633052527255,0.640609514370664,0.6296456888007929,0.6283448959365708,0.6251858275520317,0.6424987611496531,0.62759771432111
53,0.6416718681017552,0.6282445537168694,0.6294890922100264,0.6414435124149375,0.6608080746570859,0.6470230030295188,0.6483094067319256,0.6412684397217105,0.6656720507863048,0.6423379055216405
54,0.6380667243446716,0.6334752515823505,0.6380667243446716,0.6435499294203361,0.6415767345142146,0.6417436971601171,0.6441342986809951,0.636954904907184,0.6457887467176662,0.6466956574533643
55,0.6620998968566646,0.6358997987859523,0.6390913241237044,0.6690198001386517,0.6645558918516765,0.6594156338242505,0.6591704570433371,0.6615207723914036,0.6616053161089599,0.6674007879474476
56,0.6292420089906134,0.6193391355657176,0.6185627440780739,0.6375183422488956,0.6496378133710142,0.6362140045496542,0.6382559141621571,0.6257793029557224,0.6557014308895117,0.632215588388289
57,0.6622321742184756,0.6612063735351407,0.6637449308682185,0.6701072899703037,0.6659721556981831,0.663800811061085,0.6652776447296995,0.6605677427595236,0.6673052974422837,0.665161892901619
58,0.6655590086859511,0.6624631444736633,0.6651008048450076,0.6491194517491433,0.6833612240019125,0.6740537094589211,0.6767869949796796,0.6656546338353654,0.6903020160969001,0.6655669774484022
59,0.64934094797465,0.6494132388732259,0.6434813690289726,0.6491642368892423,0.6661606303766355,0.653172365599171,0.6552527370137433,0.6484654248696756,0.6691566865065022,0.6500236953500887
60,0.6327533720315004,0.6245523767166881,0.6210710752927284,0.639309567444464,0.6491016862074518,0.6373925512418431,0.63908719356496,0.632715031707448,0.6521689121316453,0.6311660826157303
61,0.6230515828378596,0.596037102505044,0.5952693413323334,0.6288321102719303,0.6391790311925295,0.6182798578749085,0.6228150052671988,0.6212794829217776,0.6350366918420912,0.6244264109843413
62,0.6462317336340081,0.6289752914031407,0.6264887508307136,0.652817705960977,0.6657059012402835,0.6510778742691586,0.6519888591035014,0.646485614653415,0.6689988874037679,0.6506298489407935
63,0.672536838946694,0.669065827568589,0.666908610216776,0.6723057085161427,0.6766039235404316,0.6789557770442879,0.6796288937367708,0.6725652233855337,0.6802614612309115,0.6660570770515867
64,0.6723049542903211,0.6710272128504282,0.655941497695502,0.6721604478179523,0.6969623218387307,0.6742748056768226,0.67559057513576,0.6696658097686375,0.6990462572823657,0.6689052493877489
65,0.6691722514037312,0.667927005977178,0.6692892290044075,0.6623196280866993,0.6821378977238423,0.6742211555877559,0.6742513433556723,0.6698061945299765,0.6861679647406871,0.6592102879913059
66,0.6349253189267717,0.6252326689971399,0.6269396649566441,0.6336042130113043,0.6528079175557271,0.6383801697916194,0.6401325645798338,0.6355836019430698,0.6533527035002497,0.6286784400962455
67,0.6473696175673173,0.6476516848256235,0.6473822474445549,0.648173719751444,0.6611488136335315,0.6492430493575603,0.6514574878332182,0.6437195830456528,0.6648030581142751,0.6484810467642255
68,0.6503704570269848,0.6486234596786773,0.6545702698486976,0.652394322258618,0.6665886757136172,0.6536109811261893,0.6532210263609421,0.6494540633286539,0.6672048042427079,0.6488808298237404
69,0.6565171939009672,0.646173655850006,0.6381079059647453,0.6649441601931021,0.6658960716653352,0.6606775569872002,0.6614509850583896,0.6565639395536215,0.6691087728841217,0.6562282207754678
70,0.6440412734119028,0.6452638270820089,0.6463233735961008,0.6455246385316316,0.6556392325623095,0.6454186838802224,0.6459729082106704,0.6432425383474335,0.6577338745170913,0.6493308556245619
71,0.6560260512056663,0.6533206167782531,0.6450295241931194,0.6592824519139429,0.6740255496363623,0.6547987263179493,0.6570329895810376,0.6558854598098597,0.6718292840478163,0.65031880048941
72,0.6386481319206564,0.6268501553413527,0.6188520672349239,0.6457022225762766,0.6590695451286545,0.6430415040229427,0.6449374651477734,0.6383334661037202,0.6618258583605513,0.639890862741974
73,0.6539040670599193,0.6511409500155231,0.6527398323502018,0.6550838248990997,0.6650031046258926,0.6580720273207079,0.6599425644209873,0.651792921452965,0.6699239366656318,0.6565119528096864
