b,C_main,C_treat_HT,C_treat_HTCT,C_cont_recept,C_mki67,C_imm_sig,C_imm_cyt,C_imm_pdl1,C_mki67_imm,C_cox6
104,0.6470695318067735,0.6437501936603353,0.6458417252811948,0.6505360518080129,0.6707619372230658,0.6548817897313544,0.6566557184023797,0.6480881851702661,0.6763161156384594,0.6473716419297865
105,0.6617243434250174,0.6623286693917291,0.6642675485349292,0.6678137668812584,0.669257434468403,0.6663281322130921,0.6666386886126522,0.6617956874627542,0.6713893621843027,0.6557482310875349
106,0.6786117088372783,0.6776842027157379,0.6802737998070787,0.6754322178526379,0.6901535950137271,0.6852489426430215,0.6852044223491875,0.6784521777843734,0.6953698894412703,0.6767715366921422
107,0.6670418059647149,0.6639344940584555,0.6651923140577936,0.6718331071464037,0.6853712224024362,0.6750604084604945,0.6765002813544735,0.6679355201747708,0.6922230313461984,0.6646337426765085
108,0.6714087258519644,0.6685912741480357,0.6638853917950944,0.671803776861298,0.6855828087692641,0.6802083785543738,0.6822313870197525,0.6718471890601259,0.6920946385934448,0.6719209897981333
109,0.6590567432940851,0.6592233246385998,0.6578581702055045,0.6589795470612613,0.6760114737979734,0.6645214239860884,0.6639444837197208,0.6593045838310458,0.6800175519855683,0.6664107002104613
110,0.6649714382125382,0.6654334080519334,0.6680284734106229,0.6636297171137732,0.6751187061630793,0.6730056962889762,0.6744197257104293,0.6651642604063728,0.6818192773988286,0.6687716422826934
111,0.659273866986297,0.6615496128802358,0.6638618031034371,0.6493164663578347,0.6719686416793547,0.6646311833878649,0.6634649648514691,0.6596099646894943,0.6752162363536234,0.6661658945868023
112,0.6741952252164021,0.6730614212853796,0.6762443592312734,0.679785142271676,0.6874166597608842,0.6802898921944568,0.68147266440157,0.6735699379986289,0.6917409352187375,0.6667520472506197
113,0.6482061702160662,0.6508197484140156,0.6528710583052846,0.6471824541266616,0.6653456592886724,0.6545656186502459,0.6580245381644461,0.6492453971553102,0.668649470304478,0.6574428812954661
114,0.6557519324826809,0.649792479903723,0.6498696249209264,0.6545446129634487,0.6626216962646383,0.6665715211454493,0.6681992810084396,0.6560103682903121,0.6732291361300974,0.6691134494622992
115,0.6518637644698502,0.6491927137238667,0.6521105679664985,0.6553190134229256,0.6714328933331211,0.6526121363629126,0.6544910274986864,0.6509720873206694,0.6734789739343662,0.6605178096587743
116,0.6831656851425771,0.682717146630562,0.6785432465882001,0.6762133382063443,0.6938724655497504,0.6952429998920185,0.6973777109584604,0.6841956624664635,0.7020043026472078,0.6849764517281192
117,0.6633319502074689,0.6605767634854772,0.6564896265560166,0.668448132780083,0.6771452282157676,0.6669294605809128,0.6689626556016598,0.663941908713693,0.6808215767634854,0.6566514522821577
118,0.6779795778342818,0.6778544617992494,0.6736731646284861,0.6714775800137224,0.684473503652581,0.6854340719215402,0.6864430722040602,0.6776203737337047,0.6924486418856197,0.6787383460467369
119,0.6655099211506802,0.647478554717962,0.6493804696300147,0.6690668053028334,0.6767524477948185,0.6680443635733472,0.668850186292349,0.6639459318949831,0.6795251711290183,0.6656572220778095
120,0.65440388267567,0.6545347119645495,0.6540071745093902,0.6525764929309981,0.6677442498417387,0.6582738974467187,0.6631694450305972,0.6542224097910951,0.6718463810930576,0.6434226630090737
121,0.6773593100452938,0.6740126884655954,0.6749278711919091,0.6764596388906124,0.6924288018862071,0.6835716944840852,0.6863870447353726,0.6776540299063101,0.6963377179375815,0.6723490724080163
122,0.6427282215473472,0.6306197079203647,0.6349828534657972,0.6449529549324733,0.6608674498355973,0.6459574200940117,0.6453767136724973,0.6379060040335555,0.6633315284349962,0.6555273049728872
123,0.6610284023416105,0.6609999502087676,0.657628372466871,0.663567755197849,0.6717619694566354,0.6634610596996877,0.6658652649249219,0.65648317411994,0.6749201562022094,0.6590509791090214
124,0.6545711986394971,0.6503803638130523,0.6491656290807495,0.6551444015913025,0.6680129976616357,0.6583103039873668,0.6612484436211242,0.6532767469403868,0.671171307965623,0.6529388988429652
125,0.652981708180017,0.6403950254741013,0.6416952660628361,0.6510225021228417,0.6686686243985281,0.6462637984715539,0.652110458533824,0.6533753184262666,0.6604603028587602,0.6507261887913954
126,0.6368165763692445,0.6361333525115469,0.6381910150069521,0.6310031803870803,0.6496539930638794,0.6386105384283454,0.6413674066260728,0.6375557366831279,0.6536094996084448,0.6387503795688099
127,0.6394614488860934,0.6384074662768064,0.6354027658543634,0.6348970241991008,0.6592746219687375,0.64521585393841,0.6449608581458406,0.6392659521117902,0.6631080587170312,0.6536987139712195
128,0.6248464984347164,0.6189053392600792,0.6204057630108791,0.6225937008146393,0.6397080443468184,0.6306449660134562,0.6322016016050642,0.6255686043897124,0.6444817268277496,0.6267058131691371
129,0.6418390994868399,0.6418473762622082,0.6402292666777024,0.6420294653203112,0.6550322794239364,0.646887932461513,0.6479556364840259,0.63933123655024,0.6586657838106273,0.6466561827512002
130,0.6438318480928353,0.6439549143241854,0.6445919630511738,0.6461773456785654,0.6628202436711381,0.6447367468527622,0.6469519390170627,0.6437087818614854,0.6638988829929707,0.635412670030477
131,0.6438614346564138,0.6452109012778469,0.6478683704625128,0.6445248595876211,0.6545591616721324,0.6512571148554412,0.6509178634701647,0.6443363865958008,0.6582984658298466,0.6383957178936258
